target_uniprot_id	compound_bindingdb_id	pKi
P21397	50273620	0
P21397	50273622	0
P21397	50273623	0
P21397	50273657	0
P21397	50273658	0
P21397	50273660	0
P21397	50273691	0
P21397	50273692	0
P21397	15582	0
P21397	15585	0
P21397	15586	0
P21397	15587	0
P21397	15588	0
P21397	15590	0
P21397	15592	0
P21397	15594	0
P21397	15596	0
P21397	15597	0
P21397	15602	0
P21397	15603	0
P21397	15605	0
P21397	15606	0
P21397	15609	0
P21397	15611	0
P21397	15612	0
P21397	50124557	0
P21397	50124551	0
P21397	50124550	0
P21397	50124552	0
P21397	50124543	0
P21397	50124546	0
P21397	50124545	0
P21397	50168981	0
P21397	50168984	0
P21397	50168979	0
P21397	50418103	0
P21397	50273528	0
P21397	50273561	0
P21397	50273591	0
P21397	50273595	0
P21397	50273656	0
P21397	50273661	0
P21397	15584	0
P21397	15589	0
P21397	15595	0
P21397	15604	0
P21397	15608	0
P21397	50124549	0
P21397	50124553	0
P21397	50124556	0
P21397	50418104	0
P21397	50273487	0
P21397	50273621	0
P21397	50273659	0
P21397	15583	0
P21397	15591	0
P21397	50273486	0
P21397	15598	0
P21397	15607	0
P21397	50124542	0
P21397	50124555	0
P21397	50168982	0
P24941	5485	0
P24941	5566	0
P24941	8037	0
P24941	8040	1
P24941	8042	0
P24941	8043	0
P24941	8044	0
P24941	8045	1
P24941	8046	1
P24941	8049	1
P24941	8050	1
P24941	8051	1
P24941	8053	1
P24941	8054	1
P24941	8055	1
P24941	8056	1
P24941	8058	1
P24941	8059	0
P24941	8060	1
P24941	8061	1
P24941	8063	0
P24941	8064	1
P24941	8065	1
P24941	8066	1
P24941	8067	1
P24941	8068	1
P24941	8069	0
P24941	8070	1
P24941	8071	1
P24941	8072	1
P24941	8073	1
P24941	8074	1
P24941	8075	1
P24941	8076	1
P24941	8077	1
P24941	8078	1
P24941	8079	1
P24941	8080	1
P24941	8081	1
P24941	8327	0
P24941	8336	1
P24941	8337	1
P24941	8338	1
P24941	8339	0
P24941	12604	0
P24941	12605	0
P24941	12607	0
P24941	12608	0
P24941	12609	1
P24941	12610	0
P24941	12611	1
P24941	12612	1
P24941	12613	0
P24941	12614	0
P24941	12615	0
P24941	12616	1
P24941	12617	1
P24941	12618	1
P24941	12619	1
P24941	12620	1
P24941	12621	1
P24941	12622	1
P24941	12623	1
P24941	12624	0
P24941	17054	1
P24941	2579	1
P24941	17140	1
P24941	35641	1
P24941	35642	1
P24941	35643	1
P24941	35644	1
P24941	35645	1
P24941	35648	0
P24941	35650	1
P24941	35651	1
P24941	35654	1
P24941	35655	1
P24941	35656	1
P24941	35657	0
P24941	35658	1
P24941	35659	1
P24941	35660	0
P24941	35661	1
P24941	35662	1
P24941	35663	1
P24941	35664	1
P24941	81429	1
P24941	81430	1
P24941	81431	1
P24941	81432	1
P24941	81433	1
P24941	81434	1
P24941	81435	1
P24941	81438	1
P24941	81439	1
P24941	81440	1
P24941	81441	1
P24941	7262	1
P24941	7393	0
P24941	7266	0
P24941	27216	1
P24941	7533	1
P24941	50444920	1
P24941	50444921	1
P24941	50444922	1
P24941	50444923	0
P24941	50444928	0
P24941	50444924	0
P24941	50444936	0
P24941	50444937	0
P24941	50444919	1
P24941	50444942	0
P24941	50444941	1
P24941	50444940	0
P24941	50444939	0
P24941	50277583	1
P24941	50395893	0
P24941	7453	0
P24941	50395891	0
P24941	50395892	0
P24941	50425009	1
P24941	50425008	0
P24941	5655	1
P24941	50425011	1
P24941	50425010	1
P24941	50425002	1
P24941	50425001	1
P24941	11324	0
