target_uniprot_id	compound_bindingdb_id	pEC50
P04150	19232	8.301
P04150	19233	7.367
P04150	19234	7.066
P04150	19235	6.357
P04150	19236	6.481
P04150	19237	6.593
P04150	19238	6.301
P04150	332659	8
P04150	332661	8.2
P04150	332669	8.6
P04150	332676	8.699
P04150	332677	8.6
P04150	332678	8.6
P04150	332679	8.1
P04150	332680	7.699
P04150	332681	7.699
P04150	332682	8.1
P04150	332683	8.1
P04150	332684	8.4
P04150	332685	8.3
P04150	332686	7.699
P04150	332687	8.2
P04150	332688	8
P04150	332689	8.4
P04150	332690	8.801
P04150	332691	8.5
P04150	332692	8.3
P04150	332693	8.3
P04150	332696	8.5
P04150	332697	7.6
P04150	50067678	7.701
P04150	50012202	-0.919
P04150	50107350	7.582
P04150	50107366	6.697
P04150	50107365	5.996
P04150	50107356	7.519
P04150	50107347	7.455
P04150	50107344	6.906
P04150	50107359	6.653
P04150	50103249	8.222
P04150	50107355	6.812
P04150	50107353	7.383
P04150	50107357	7.824
P04150	50107352	6.556
P04150	50107358	6.62
P04150	50107345	6.399
P04150	50107354	6.593
P04150	50107346	7.14
P04150	50107364	7.122
P04150	50411035	7.77
P04150	50411030	8.04
P04150	50411036	7.678
P04150	50411048	7.398
P04150	50411037	7.699
P04150	50411026	7.721
P04150	50411024	7.747
P04150	50411047	8.2
P04150	50001764	7.046
P04150	50124605	7.229
P04150	50124597	7.15
P04150	50124596	6.431
P04150	50124615	7.058
P04150	50124593	7.327
P04150	50124621	7.092
P04150	50124594	7.468
P04150	50124619	7.346
P04150	50124613	6.921
P04150	50124602	6.886
P04150	50124606	7.845
P04150	50124601	6.516
P04150	50124604	7.092
P04150	50124612	7.027
P04150	50124599	6.796
P04150	50124591	8.301
P04150	50124609	6.569
P04150	50124608	7.276
P04150	50124620	7.086
P04150	50072707	6.456
P04150	50124607	6.854
P04150	50124610	6.331
P04150	50124595	7.919
P04150	50124616	6.807
P04150	50124611	7.198
P04150	50124603	6.852
P04150	50124600	6.966
P04150	50124614	7
P04150	50355735	7.329
P04150	50048327	7.333
P04150	50048328	6.334
P04150	50048329	7.742
P04150	50048330	7.926
P04150	50048331	6.784
