target_uniprot_id	compound_bindingdb_id	pEC50
P04150	50440220	1
P04150	50440221	1
P04150	50440222	1
P04150	50440223	1
P04150	50440225	1
P04150	50440226	1
P04150	50440227	1
P04150	50440228	1
P04150	50440229	1
P04150	50440230	0
P04150	50440231	1
P04150	50440232	1
P04150	50440233	1
P04150	50440234	1
P04150	50440235	0
P04150	50440237	0
P04150	50440238	0
P04150	50440212	1
P04150	50440239	0
P04150	50440240	1
P04150	50440241	0
P04150	50440242	1
P04150	50440243	1
P04150	50440244	1
P04150	50440245	1
P04150	50440246	1
P04150	50440484	1
P04150	50440485	1
P04150	50440487	1
P04150	50440488	1
P04150	50440490	1
P04150	50440497	0
P04150	50440499	0
P04150	50440486	0
P04150	50440494	1
P04150	50440500	1
P04150	50440491	1
P04150	50440501	1
P04150	50440493	1
P04150	50440495	1
P04150	50440498	1
P10827	18867	1
P10827	18868	1
P10827	18869	1
P10827	18870	1
P10827	18871	1
P10827	18872	1
P10827	18873	1
P10827	18874	1
P10827	18875	1
P10827	18877	1
P10827	18878	0
P10827	18879	1
P10827	18880	1
P10827	18881	1
P10827	18882	1
P10827	18894	1
P10827	18896	1
P10827	18902	1
P10827	18903	1
P10827	18904	1
P10827	18906	1
P10827	18887	1
P10827	18886	1
P10827	18860	1
P10827	36488	0
P10827	36487	1
P10827	50012901	0
P10827	50012903	0
P10827	50012859	0
P10827	50012817	0
P10827	50012902	0
P10827	50012906	0
P10827	50012907	0
P10827	50012908	0
P10827	50012911	0
P10827	50012912	0
P10827	50012905	0
P10827	50012910	0
P10827	50115668	1
P10827	50012914	1
P10827	50012913	1
P10827	50012916	1
P10827	50012915	1
P10827	50012918	0
P10827	50012917	0
P10827	50123044	1
P10827	50123052	0
P10827	50063752	0
P10827	50163887	1
P10827	50163888	1
P10827	50163889	1
P10827	50163890	1
P10827	50163891	1
P10827	50163892	1
P10827	50163893	1
P10827	50163895	1
P10827	50163894	1
P10827	50163896	1
P10827	50163898	1
P10827	50163897	1
P10827	50163902	1
P10827	50163899	1
P10827	50163900	1
P10827	50163901	1
P10827	50163904	1
P10827	50163905	1
P10827	50163903	1
P10827	50163906	1
P10827	50251497	0
P10827	50251496	1
P10827	50375343	1
P10827	50375349	1
P10827	50375346	1
P10827	50375347	1
P10827	50375342	1
P10827	50375345	1
P10827	50375350	1
P10827	50401075	1
P10827	18920	1
P10827	50178970	1
P10827	50178971	1
P10827	50178975	1
P10827	50178972	1
P10827	50178974	1
P10827	50448464	1
P10827	50448465	1
P10827	50448466	1
P10827	50448467	1
P10828	18867	1
P10828	18868	1
P10828	18869	1
P10828	18870	1
P10828	18871	1
P10828	18872	1
P10828	18873	1
P10828	18874	1
P10828	18875	1
P10828	18877	1
P10828	18878	0
P10828	18879	1
P10828	18880	1
P10828	18881	1
P10828	18882	0
P10828	18894	1
P10828	18896	1
P10828	18902	1
P10828	18903	1
P10828	18904	1
P10828	18906	1
P10828	18887	1
P10828	18886	1
P10828	18860	1
P10828	36487	1
P10828	50123052	1
P10828	50012817	0
P10828	50012859	0
P10828	50012902	0
P10828	50012904	0
P10828	50012903	0
P10828	50012910	0
P10828	50012901	0
P10828	50115668	1
P10828	50012913	1
P10828	50012907	1
P10828	50012914	1
P10828	50012915	1
P10828	50012908	1
P10828	50012905	1
P10828	50012911	1
P10828	50012912	1
P10828	50012917	1
P10828	50012918	1
P10828	50012916	0
P10828	50012906	0
P10828	50115666	1
P10828	50115667	1
P10828	50063752	1
P10828	50251497	1
P10828	50251496	1
P10828	50375342	0
P10828	50375343	1
P10828	50375349	1
P10828	50375345	1
P10828	50375346	0
P10828	50375350	1
P10828	50375347	0
P10828	50401075	1
P10828	18920	1
P10828	50178970	1
P10828	50178974	1
P10828	50178971	1
P10828	50178972	1
P10828	50178975	1
P10828	50448459	0
P10828	50448460	1
P10828	50448461	0
P10828	50448462	1
P10828	50448463	1
P10828	50448464	1
P10828	50448465	1
P10828	50448466	1
P10828	50448467	1
P12268	19269	0
P12268	19270	0
P12268	19274	0
P12268	19275	0
P12268	19276	0
P12268	19277	0
P12268	19278	0
P12268	19279	1
P12268	19280	1
P12268	19264	1
P12268	19281	1
P12268	19282	1
P12268	19283	1
P12268	19284	1
P12268	19285	0
P12268	19286	0
P12268	19287	0
P12268	19288	1
P12268	19289	0
P12268	19290	1
P12268	19291	0
P12268	19292	0
Q92847	19293	1
Q92847	19303	1
Q92847	19306	1
Q92847	19318	1
Q92847	19319	1
Q92847	19321	1
Q92847	19323	1
Q92847	19331	1
Q92847	19332	1
Q92847	19333	1
Q92847	19334	1
Q92847	19335	1
Q92847	19337	1
Q92847	19338	1
Q92847	19339	1
Q92847	19340	1
Q92847	19343	1
Q92847	19344	1
Q92847	19345	1
Q92847	19347	1
Q92847	19348	1
Q92847	19350	1
Q92847	19351	1
Q92847	19352	1
Q92847	19353	1
Q92847	19354	1
Q92847	19357	1
Q92847	19358	1
Q92847	19359	1
Q92847	19364	1
Q92847	19365	1
Q92847	19366	1
Q92847	19367	1
Q92847	19368	1
Q92847	19370	1
Q92847	19371	1
Q92847	19372	1
